symbol,date,open,high,low,close,volume,adjclose,splits
GBR,2016-01-06,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,100,1.0499999523162842,0.0
GBR,2016-01-07,1.0099999904632568,1.0099999904632568,1.0099999904632568,1.0099999904632568,100,1.0099999904632568,0.0
GBR,2016-01-08,1.0099999904632568,1.0099999904632568,1.0099999904632568,1.0099999904632568,1000,1.0099999904632568,0.0
GBR,2016-01-11,1.0099999904632568,1.0299999713897705,0.9399999976158142,0.9399999976158142,2700,0.9399999976158142,0.0
GBR,2016-01-12,0.9900000095367432,0.9900000095367432,0.8999999761581421,0.9300000071525574,3500,0.9300000071525574,0.0
GBR,2016-01-13,0.9300000071525574,0.9300000071525574,0.9300000071525574,0.9300000071525574,3100,0.9300000071525574,0.0
GBR,2016-01-14,0.8700000047683716,0.8899999856948853,0.8399999737739563,0.8700000047683716,12000,0.8700000047683716,0.0
GBR,2016-01-15,0.7799999713897705,1.0499999523162842,0.7799999713897705,0.9200000166893005,46500,0.9200000166893005,0.0
GBR,2016-01-19,0.949999988079071,0.949999988079071,0.9200000166893005,0.9200000166893005,3000,0.9200000166893005,0.0
GBR,2016-01-20,0.949999988079071,0.949999988079071,0.8500000238418579,0.8999999761581421,5700,0.8999999761581421,0.0
GBR,2016-01-21,0.8799999952316284,0.9399999976158142,0.8799999952316284,0.9200000166893005,2600,0.9200000166893005,0.0
GBR,2016-01-22,0.8999999761581421,0.8999999761581421,0.8700000047683716,0.8700000047683716,10400,0.8700000047683716,0.0
GBR,2016-01-25,0.9300000071525574,0.9300000071525574,0.8799999952316284,0.8799999952316284,1200,0.8799999952316284,0.0
GBR,2016-01-26,0.9300000071525574,0.9300000071525574,0.8700000047683716,0.9200000166893005,3100,0.9200000166893005,0.0
GBR,2016-01-27,0.9300000071525574,0.9300000071525574,0.8899999856948853,0.8899999856948853,1000,0.8899999856948853,0.0
GBR,2016-01-28,0.9100000262260437,0.9200000166893005,0.9100000262260437,0.9200000166893005,900,0.9200000166893005,0.0
GBR,2016-01-29,0.9300000071525574,0.9300000071525574,0.75,0.7799999713897705,19800,0.7799999713897705,0.0
GBR,2016-02-01,0.8199999928474426,0.8700000047683716,0.800000011920929,0.8399999737739563,9800,0.8399999737739563,0.0
GBR,2016-02-02,0.8399999737739563,0.8399999737739563,0.8399999737739563,0.8399999737739563,0,0.8399999737739563,0.0
GBR,2016-02-03,0.8100000023841858,0.8199999928474426,0.8100000023841858,0.8199999928474426,1900,0.8199999928474426,0.0
GBR,2016-02-04,0.8100000023841858,0.8100000023841858,0.6899999976158142,0.6899999976158142,20400,0.6899999976158142,0.0
GBR,2016-02-05,0.7200000286102295,0.7699999809265137,0.699999988079071,0.699999988079071,6600,0.699999988079071,0.0
GBR,2016-02-08,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,3000,0.699999988079071,0.0
GBR,2016-02-09,0.7099999785423279,0.75,0.7099999785423279,0.75,3900,0.75,0.0
